"","x"
"1",0.00116959645349086
"2",-0.000289549351382917
"3",0.000277760022872854
"4",-6.18575221603239e-05
"5",8.06318955843874e-05
"6",-1.10951194472277e-06
"7",3.31293572552117e-05
"8",1.2350263786712e-05
"9",1.96753657563087e-05
"10",1.3647652759603e-05
"11",1.45045825399246e-05
"12",1.21905683817114e-05
"13",1.16194052281349e-05
"14",1.03449790965275e-05
"15",9.55634206501916e-06
"16",8.65372200686762e-06
"17",7.92134366379385e-06
"18",7.20884950271785e-06
"19",6.581149728399e-06
"20",5.99789208066502e-06
"21",5.4713598918625e-06
"22",4.98856908827626e-06
"23",4.54960295668732e-06
"24",4.14866042606554e-06
"25",3.7833490814987e-06
"26",3.4500587602628e-06
"27",3.14620157729172e-06
"28",2.8690704056518e-06
"29",2.61636771625004e-06
"30",2.38591398204573e-06
"31",2.17576323747626e-06
"32",1.9841204180619e-06
"33",1.80935867542283e-06
"34",1.64998947258573e-06
"35",1.5046578395803e-06
"36",1.37212694193743e-06
"37",1.25126948293805e-06
"38",1.14105716436259e-06
"39",1.04055240594996e-06
"40",9.48900138375436e-07
